TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
182,Serine/threonine-protein kinase A-Raf,"Proto-oncogene A-Raf-1
Proto-oncogene A-Raf
Proto-oncogene Pks
EC=2.7.11.1",Homo sapiens (Human):9606,Protein>Enzyme,P10398,1WXM,NULL
183,Iron-loaded human transferrin,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
184,proMMP-2,Progelatinase A,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
185,Cytotoxic T-lymphocyte protein 4,"Cytotoxic T-lymphocyte-associated antigen 4, CTLA-4
CD_antigen=CD152",Homo sapiens (Human):9606,Protein>Others,P16410,"1AH1, 1H6E, 1I85, 1I8L, 2X44, 3BX7, 3OSK",NULL
186,"Beta-lactoglobulin, Beta-LG",Allergen=Bos d 5,Bos taurus (Bovine):9913,Protein>Others,P02754,"1B0O, 1B8E, 1BEB, 1BSO, 1BSQ, 1BSY, 1CJ5, 1DV9, 1GX8, 1GX9, 1GXA, 1QG5, 1UZ2, 1YUP, 2AKQ, 2BLG, 2GJ5, 2Q2M, 2Q2P, 2Q39, 2R56, 3BLG, 3KZA, 3NPO, 3NQ3, 3NQ9, 3PH5, 3PH6, 3UEU, 3UEV, 3UEW, 3UEX, 4DQ3, 4DQ4, 4GNY",NULL
187,Tyrosine-protein kinase HCK,"Hemopoietic cell kinase
p59-HCK/p60-HCK
EC=2.7.10.2",Homo sapiens (Human):9606,Protein>Enzyme,P08631,"1AD5, 1BU1, 1QCF, 2C0I, 2C0O, 2C0T, 2HCK, 2HK5, 2OI3, 2OJ2, 3HCK, 3NHN, 3RBB, 3REA, 3REB, 3VRY, 3VRZ, 3VS0, 3VS1, 3VS2, 3VS3, 3VS4, 3VS5, 3VS6, 3VS7, 4HCK, 5HCK",NULL
188,Potassium channel toxin alpha-KTx 2.1,"Noxiustoxin, NTx
Toxin II.11",Centruroides noxius (Mexican scorpion):6878,Protein>Others,P08815,1SXM,NULL
189,Glutamate decarboxylase 2,"Glutamate decarboxylase 65 kDa isoform
65 kDa glutamic acid decarboxylase, GAD-65
EC=4.1.1.15",Homo sapiens (Human):9606,Protein>Enzyme,Q05329,"1ES0, 2OKK",NULL
190,HCV E1 protein,NULL,Hepatitis C virus:11103,Protein>Others,NULL,NULL,NULL
191,Pulmonary surfactant-associated protein A1,"SP-A1, SP-A, PSP-A, PSAP
Alveolar proteinosis protein
35 kDa pulmonary surfactant-associated protein
Collectin-4",Homo sapiens (Human):9606,Protein>Others,Q8IWL2,NULL,NULL
192,Major pollen allergen Bet v 1-A,"Allergen Bet v I-A
Allergen=Bet v 1-A",Betula pendula (European white birch) (Betula verrucosa):3505,Protein>Others,P15494,"1B6F, 1BTV, 1BV1, 1FSK, 1LLT, 1QMR, 4A80, 4A81, 4A83, 4A84, 4A85, 4A86, 4A87, 4A88, 4A8G",NULL
193,Integrin alpha-IIb/beta-3,"Integrin alpha-IIb alternative name(s):
Platelet membrane glycoprotein IIb
GPalpha IIb, GPIIb
CD_antigen=CD41

Integrin beta-3 alternative name(s):
Platelet membrane glycoprotein IIIa, GPIIIa
CD_antigen=CD61",Homo sapiens (Human):9606,Protein>Others,"P08514, P05106","Integrin alpha-IIb: 1DPK, 1DPQ, 1KUP, 1KUZ, 1M8O, 1S4W, 1TYE, 2K1A, 2K9J, 2KNC, 2VC2, 2VDK, 2VDL, 2VDM, 2VDN, 2VDO, 2VDP, 2VDQ, 2VDR, 3FCS, 3FCU, 3NID, 3NIF, 3NIG, 3T3M, 3T3P
Integrin beta-3: 1JV2, 1KUP, 1KUZ, 1L5G, 1M1X, 1M8O, 1MK7, 1MK9, 1S4X, 1TYE, 1U8C, 2K9J, 2KNC, 2KV9, 2L1C, 2L91, 2LJD, 2LJE, 2LJF, 2Q6W, 2RMZ, 2RN0, 2VC2, 2VDK, 2VDL, 2VDM, 2VDN, 2VDO, 2VDP, 2VDQ, 2VDR, 3FCS, 3FCU, 3IJE, 3NID, 3NIF, 3NIG, 3T3M, 3T3P, 4G1E, 4G1M",NULL
194,Human platelet,NULL,Homo sapiens (Human):9606,Cell,NULL,NULL,NULL
195,Chlamydia pneumoniae,NULL,Chlamydia pneumoniae (Chlamydophila pneumoniae):83558,Cell,NULL,NULL,NULL
196,Tyrosine-protein phosphatase non-receptor type 6,"Protein-tyrosine phosphatase 1C, PTP-1C
Hematopoietic cell protein-tyrosine phosphatase
SH-PTP1
Protein-tyrosine phosphatase SHP-1
EC=3.1.3.48",Homo sapiens (Human):9606,Protein>Enzyme,P29350,"1FPR, 1GWZ, 1X6C, 2B3O, 2RMX, 2YU7, 3PS5, 4GRY, 4GRZ, 4GS0, 4HJP, 4HJQ",NULL
197,"Envelope glycoprotein G, gG, gG-2",NULL,Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2):10315,Protein>Others,P13290,NULL,NULL
198,Meningococcal group A polysaccharide (MAPS),NULL,Neisseria meningitidis serogroup A:65699,Organic molecules or materials,NULL,NULL,NULL
199,Myc proto-oncogene protein,"Proto-oncogene c-Myc
Transcription factor p64
Class E basic helix-loop-helix protein 39, bHLHe39",Homo sapiens (Human):9606,Protein>Others,P01106,"1A93, 1EE4, 1MV0, 1NKP, 2A93",NULL
200,Platelet glycoprotein Ib alpha chain,"Glycoprotein Ibalpha, GP-Ib alpha, GPIb-alpha, GPIbA
Antigen CD42b-alpha
CD_antigen=CD42b",Homo sapiens (Human):9606,Protein>Others,P07359,"1GWB, 1M0Z, 1M10, 1OOK, 1P8V, 1P9A, 1QYY, 1SQ0, 1U0N, 2BP3, 3P72, 3PMH",NULL
201,"HLA class II histocompatibility antigen, DM",NULL,Homo sapiens (Human):9606,Protein>Others,"P28067, P28068","MHC class II antigen DMA: 1HDM, 2BC4, 4FQX, 4GBX     
MHC class II antigen DMB: 1HDM, 2BC4, 4FQX, 4GBX, 4I0P
",NULL
202,Homeotic protein knotted-1,NULL,Zea mays (Maize):4577,Protein>Others,P24345,NULL,NULL
203,"Movement protein, MP",Protein 3A,Cucumber mosaic virus (strain Pepo) (CMV):117125,Protein>Others,Q89785,NULL,NULL
204,AA1–20 of Taenia solium paramyosin (MSESHVKISRTIIRGTSPST),NULL,Taenia solium (Pork tapeworm):6204,Protein>Others,NULL,NULL,NULL
205,"Crotoxin acid chain, CA",Crotapotin,Crotalus durissus terrificus (South American rattlesnake):8732,Protein>Others,P08878,3R0L,NULL
206,"Myohemerythrin, MHr",NULL,Themiste hennahi:360549,Protein>Others,P02247,"1A7D, 1A7E, 2IGF, 2MHR",NULL
207,Biotin,"Vitamin B7, Vitamin H
Coenzyme R, Biopeiderm
PDB component identifier: BTN
",Unknown,Organic molecules or materials,"CID: 171548
SMILES: O=C1N[C@@H]2[C@@H](SC[C@@H]2N1)CCCCC(=O)O","1AVD,1BDO,1BIB,1DF8,1F27,1HXD,1KQS,1LUQ,1MEP,1MK5,1N43,1N9M,1NDJ,1NQM,1STP,1SWD,1SWE,1SWG,1SWK,1SWN,1SWP,1SWR,1SWT,1WBI,1WPY,1XNY,1Y52,1Y55,2AVI,2B8G,2BDO,2C1Q,2C4I,2DTH,2DTO,2DXT,2EJ9,2EJF,2EJG,2F01,2FYK,2GH7,2IZF,2IZG,2IZH,2IZI,2IZJ,2JGS,2RTD,2RTE,2RTF,2RTG,2UYW,2UZ2,2Y3F,2ZGW,2ZSC,3EFR,3EFS,3EW2,3G8C,3IB9,3MG5,3O34,3RDM,3RDO","Biotin is a water-soluble B-complex vitamin discovered by Bateman in 1916. The Empirical formula of Biotin is C10H16O3N2S, with an unusual structure composed of a ureido (tetrahydroimidizalone) ring fused with a tetrahydrothiophene ring. Biotin is necessary for cell growth, the production of fatty acids, and the metabolism of fats and amino acids. It plays a role in the citric acid cycle, which is the process by which biochemical energy is generated during aerobic respiration. Biotin not only assists in various metabolic reactions but also helps to transfer carbon dioxide. Biotin may also be helpful in maintaining a steady blood sugar level."
208,Surface protein gp120 of Envelope glycoprotein gp160,NULL,Human immunodeficiency virus type 1 group M subtype B (isolate MN) (HIV-1):11696,Protein>Others,P05877 [32-513],"1ACY, 1AI1, 1F58, 1NAK, 1NIZ, 1NJ0, 2B0S, 2QSC, 3GO1, 3MLW, 3MLX, 3UJI",NULL
209,Proenkephalin-A,NULL,Homo sapiens (Human):9606,Protein>Others,P01210,"1PLW, 1PLX",NULL
210,Beta-endorphin,NULL,Homo sapiens (Human):9606,Protein>Others,P01189 [237-267],NULL,NULL
211,F-actin-capping protein subunit alpha-1,CapZ alpha-1,Bos taurus (Bovine):9913,Protein>Others,A4FUA8,NULL,NULL
212,"Keratin, type I cytoskeletal 19","Cytokeratin-19, CK-19
Keratin-19, K19",Homo sapiens (Human):9606,Protein>Others,P08727,NULL,NULL
213,DNA-binding protein SATB1,Special AT-rich sequence-binding protein 1,Homo sapiens (Human):9606,Protein>Others,Q01826,"1YSE, 2L1P, 2O49, 2O4A, 3NZL, 3TUO",NULL
214,Urokinase-type plasminogen activator (uPA),U-plasminogen activator,Homo sapiens (Human):9606,Protein>Others,P00749,"1C5W, 1C5X, 1C5Y, 1C5Z, 1EJN, 1F5K, 1F5L, 1F92, 1FV9, 1GI7, 1GI8, 1GI9, 1GJ7, 1GJ8, 1GJ9, 1GJA, 1GJB, 1GJC, 1GJD, 1KDU, 1LMW, 1O3P, 1O5A, 1O5B, 1O5C, 1OWD, 1OWE, 1OWH, 1OWI, 1OWJ, 1OWK, 1SC8, 1SQA, 1SQO, 1SQT, 1U6Q, 1URK, 1VJ9, 1VJA, 1W0Z, 1W10, 1W11, 1W12, 1W13, 1W14, 2FD6, 2I9A, 2I9B, 2NWN, 2O8T, 2O8U, 2O8W, 2R2W, 2VIN, 2VIO, 2VIP, 2VIQ, 2VIV, 2VIW, 2VNT, 3BT1, 3BT2, 3IG6, 3KGP, 3KHV, 3KID, 3M61, 3MHW, 3MWI, 3OX7, 3OY5, 3OY6, 3PB1, 3QN7, 3U73, 4DVA, 4DW2, 4FU7, 4FU8, 4FU9, 4FUB, 4FUC, 4FUD, 4FUE, 4FUF, 4FUG, 4FUH, 4FUI, 4FUJ, 4GLY, 4H42, 4JK5, 4JK6, 4JNI, 4JNL, 4K24, 4MNV, 4MNW, 4MNX, 4MNY, 4OS1, 4OS2, 4OS4, 4OS5, 4OS6, 4OS7, 4X1N, 4X1Q, 4X1R",NULL
215,Streptavidin,NULL,Streptomyces avidinii:1895,Protein>Others,P22629,"1DF8,1HQQ,1HXL,1HXZ,1HY2,1I9H,1KFF,1KL3,1KL4,1KL5,1LCV,1LCW,1LCZ,1LUQ,1MEP,1MK5,1MM9,1MOY,1N43,1N4J,1N7Y,1N9M,1N9Y,1NBX,1NC9,1NDJ,1NQM,1PTS,1RST,1RSU,1RXH,1RXJ,1RXK,1SLD,1SLE,1SLF,1SLG,1SRE,1SRF,1SRG,1SRH,1SRI,1SRJ,1STP,1STR,1STS,1SWA,1SWB,1SWC,1SWD,1SWE,1SWF,1SWG,1SWH,1SWJ,1SWK,1SWL,1SWN,1SWO,1SWP,1SWQ,1SWR,1SWS,1SWT,1SWU,1VWA,1VWB,1VWC,1VWD,1VWE,1VWF,1VWG,1VWH,1VWI,1VWJ,1VWK,1VWL,1VWM,1VWN,1VWO,1VWP,1VWQ,1VWR,2BC3,2F01,2G5L,2GH7,2IZA,2IZB,2IZC,2IZD,2IZE,2IZF,2IZG,2IZH,2IZI,2IZJ,2IZK,2IZL,2QCB,2RTA,2RTB,2RTC,2RTD,2RTE,2RTF,2RTG,2RTH,2RTI,2RTJ,2RTK,2RTL,2RTM,2RTN,2RTO,2RTP,2RTQ,2RTR,2WPU,2Y3E,2Y3F,3MG5,3PK2","Streptavidin is a tetrameric protein purified from the bacterium Streptomyces avidinii. It has an extraordinarily high affinity for biotin; the dissociation constant of the biotin-streptavidin complex is about 10<sup>-14</sup>M, making it one of the strongest non-covalent interactions known in nature."
216,Guanine nucleotide-binding protein G(o) subunit alpha,GTP-binding protein G39,Bos taurus (Bovine):9913,Protein>Others,P08239,NULL,NULL
217,Erythropoietin,INN=Epoetin,Homo sapiens (Human):9606,Protein>Others,P01588,"1BUY, 1CN4, 1EER",NULL
218,MHC class II molecules,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
219,Hepatitis B surface antigen,NULL,Hepatitis B virus:10407,Protein>Others,NULL,NULL,NULL
220,Laminin-1,"Laminin subunit alpha-1 alternative name(s):
Laminin A chain
Laminin-1 subunit alpha
Laminin-3 subunit alpha
S-laminin subunit alpha
Short name=S-LAM alpha

Laminin subunit beta-1 alternative name(s):
Laminin B1 chain
Laminin-1 subunit beta
Laminin-2 subunit beta
Laminin-6 subunit beta
Laminin-8 subunit beta
Laminin-10 subunit beta
Laminin-12 subunit beta",Homo sapiens (Human):9606,Protein>Others,"P25391, P07942",NULL,NULL
221,Integrin alpha-L beta-2,"Integrin alpha-L alternative name(s):
Leukocyte adhesion glycoprotein LFA-1 alpha chain, LFA-1A
Leukocyte function-associated molecule 1 alpha chain
CD11 antigen-like family member A
CD_antigen=CD11a

Integrin beta-2 alternative name(s):
Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta
Complement receptor C3 subunit beta
CD_antigen=CD18",Homo sapiens (Human):9606,Protein>Receptor,"Integrin alpha-L: P20701, Integrin beta-2: P05107","Integrin alpha-L: 1CQP, 1DGQ, 1LFA, 1MJN, 1MQ8, 1MQ9, 1MQA, 1RD4, 1T0P, 1XDD, 1XDG, 1XUO, 1ZON, 1ZOO, 1ZOP, 2ICA, 2K8O, 2O7N, 3BN3, 3BQM, 3BQN, 3E2M, 3EOA, 3EOB, 3F74, 3F78, 3HI6, 3M6F, 3TCX
Integrin beta-2: 1L3Y, 1YUK, 2JF1, 2P26, 2P28, 2V7D, 3K6S, 3K71, 3K72
",NULL
222,T-lymphocyte activation antigen CD80,"Activation B7-1 antigen
CTLA-4 counter-receptor B7.1
Short name=B7
BB1
CD_antigen=CD80",Homo sapiens (Human):9606,Protein>Others,P33681,"1DR9, 1I8L",NULL
223,Major blood-stage surface antigen Pv200,"Merozoite surface protein 1
Pv200 protein",Plasmodium vivax:5855,Protein>Others,Q26194,NULL,NULL
224,"Surface protein gp120, SU","Glycoprotein 120, gp120",Human immunodeficiency virus type 1 group M subtype B (isolate LW123) (HIV-1):82834,Protein>Others,Q70626 [33-511],"2X7R, 3AHA, 3CP1, 3CYO, 3GWO, 3H00, 3H01",NULL
225,Capsular glucuronoxylomannan (GXM),NULL,Cryptococcus neoformans:5207,Organic molecules or materials,NULL,NULL,NULL
226,Dystrophin,NULL,Homo sapiens (Human):9606,Protein>Others,P11532,"1DXX, 1EG3, 1EG4, 3UUN",NULL
227,"Deoxyribonucleic acid, DNA",NULL,Unknown,Nucleic acids,NULL,NULL,NULL
228,Acetylcholine receptor subunit alpha,NULL,Torpedo californica (Pacific electric ray):7787,Protein>Receptor,P02710,"1ABT, 1DXZ, 1IDG, 1IDH, 1LXG, 1LXH, 1TOR, 1TOS, 3MRA",NULL
229,Glutamate carboxypeptidase 2,"Glutamate carboxypeptidase II, GCPII
Membrane glutamate carboxypeptidase, mGCP
N-acetylated-alpha-linked acidic dipeptidase I, NAALADase I
Pteroylpoly-gamma-glutamate carboxypeptidase
Folylpoly-gamma-glutamate carboxypeptidase, FGCP
Folate hydrolase 1
Prostate-specific membrane antigen, PSMA, PSM
Cell growth-inhibiting gene 27 protein
EC=3.4.17.21",Homo sapiens (Human):9606,Protein>Enzyme,Q04609,"1Z8L, 2C6C, 2C6G, 2C6P, 2CIJ, 2JBJ, 2JBK, 2OOT, 2OR4, 2PVV, 2PVW, 2XEF, 2XEG, 2XEI, 2XEJ, 3BHX, 3BI0, 3BI1, 3BXM, 3D7D, 3D7F, 3D7G, 3D7H, 3IWW, 3RBU, 3SJE, 3SJF, 3SJG, 3SJX",NULL
230,Glycoprotein G2,NULL,Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus):11602,Protein>Others,P08668 [649-1126],NULL,NULL
231,Phosphocarrier protein HPr,"Histidine-containing protein
EC=2.7.11.-",Escherichia coli (strain K12):83333,Protein>Others,P0AA04,"1CM2, 1CM3, 1GGR, 1HDN, 1J6T, 1OPD, 1PFH, 1POH, 1VRC, 2JEL, 2LRK, 2LRL, 2XDF, 3CCD, 3EZA, 3EZB, 3EZE",General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The phosphoryl group from phosphoenolpyruvate (PEP) is transferred to the phosphoryl carrier protein HPr by enzyme I. Phospho-HPr then transfers it to the permease (enzymes II/III).
232,PreS1 of Large envelope protein,"Large envelope protein alternative name(s):
Large surface protein
L glycoprotein
Major surface antigen
Large S protein
L-HBsAg, LHB",Hepatitis B virus:10407,Protein>Others,P03138 [2-108],,NULL
233,C5a anaphylatoxin,NULL,Homo sapiens (Human):9606,Protein>Others,P01031 [678-751],"1CFA, 1KJS, 1XWE, 3CU7, 3HQA, 3HQB, 3KLS, 3KM9, 3PRX, 3PVM, 4A5W, 4E0S",NULL
234,Envelope glycoprotein gp150,Env polyprotein,Feline immunodeficiency virus (isolate Petaluma) (FIV):11674,Protein>Others,P16090,NULL,NULL
235,"Surface protein gp120, SU","Glycoprotein 120, gp120",Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1):11678,Protein>Others,P03375 [33-511],"2ARI, 3VGY, 3VH7, 3VU5, 3VU6",NULL
236,"Transmembrane protein gp41, TM","Glycoprotein 41, gp41",Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1):11678,Protein>Others,P03375 [512-856],"2ARI, 3VGY, 3VH7, 3VU5, 3VU6",NULL
237,"Glucuronoxylomannan, GXM",NULL,Cryptococcus neoformans (Filobasidiella neoformans):5207,Organic molecules or materials,NULL,NULL,NULL
238,Estrogen,Estradiol,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
239,Heparin-binding growth factor 2 (HBGF-2),"Basic fibroblast growth factor, BFGF",Homo sapiens (Human):9606,Protein>Others,P09038,"1BAS, 1BFB, 1BFC, 1BFF, 1BFG, 1BLA, 1BLD, 1CVS, 1EV2, 1FGA, 1FQ9, 1II4, 1IIL, 2BFH, 2FGF, 2M49, 4FGF, 4OEE, 4OEF, 4OEG",NULL
240,Cell division protein ftsA,NULL,Escherichia coli (strain K12):83333,Protein>Others,P0ABH0,NULL,NULL
241,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial","NifU-like N-terminal domain-containing protein
NifU-like protein",Homo sapiens (Human):9606,Protein>Enzyme,Q9H1K1,NULL,NULL
242,Heat shock cognate 71 kDa protein,Heat shock 70 kDa protein 8,Bos taurus (Bovine):9913,Protein>Others,P19120,"1ATR, 1ATS, 1BA0, 1BA1, 1BUP, 1HPM, 1HX1, 1KAX, 1KAY, 1KAZ, 1NGA, 1NGB, 1NGC, 1NGD, 1NGE, 1NGF, 1NGG, 1NGH, 1NGI, 1NGJ, 1QQM, 1QQN, 1QQO, 1YUW, 2BUP, 2QW9, 2QWL, 2QWM, 2QWN, 2QWO, 2QWP, 2QWQ, 2QWR, 3C7N, 3HSC, 4FL9",NULL
243,Eotaxin,"C-C motif chemokine 11
Small-inducible cytokine A11
Eosinophil chemotactic protein",Homo sapiens (Human):9606,Protein>Others,P51671,"1EOT, 2EOT",NULL
244,C-C chemokine receptor type 3,"C-C CKR-3, CC-CKR-3, CCR-3, CCR3, CKR3Eosinophil eotaxin receptor
CD_antigen=CD193",Homo sapiens (Human):9606,Protein>Receptor,P51677,NULL,NULL
245,JL1 antigen,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
246,"Interferon beta, IFN-beta",Fibroblast interferon,Homo sapiens (Human):9606,Protein>Others,P01574,1AU1,NULL
247,P-selectin glycoprotein ligand 1,"PSGL-1
Selectin P ligand
CD_antigen=CD162",Homo sapiens (Human):9606,Protein>Others,Q14242,1G1S,NULL
248,L2/HNK-1 carbohydrate,NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
249,"Cholesteryl esters, CE",NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
250,"Syndecan-1, SYND1",CD_antigen=CD138,Homo sapiens (Human):9606,Protein>Others,P18827,"4GVC, 4GVD",NULL
251,Collagen alpha-1(II) chain,Alpha-1 type II collagen,Gallus gallus (Chicken):9031,Protein>Others,P02460,NULL,NULL
252,Glutamate decarboxylase 67,NULL,Gallus gallus (Chicken):9031,Protein>Others,Q9YI58,NULL,NULL
253,"Vascular endothelial growth factor receptor 2, VEGFR-2","Kinase insert domain receptor
Protein-tyrosine kinase receptor flk-1
Fetal liver kinase 1, FLK-1
CD_antigen=CD309",Homo sapiens (Human):9606,Protein>Receptor,P35968,"1VR2, 1Y6A, 1Y6B, 1YWN, 2OH4, 2P2H, 2P2I, 2QU5, 2QU6, 2RL5, 2X1W, 2X1X, 2XIR, 3B8Q, 3B8R, 3BE2, 3C7Q, 3CJF, 3CJG, 3CP9, 3CPB, 3CPC, 3DTW, 3EFL, 3EWH, 3KVQ, 3S35, 3S36, 3S37, 3U6J, 3VHE, 3VHK, 3VID, 3VNT, 3VO3, 4AG8, 4AGC, 4AGD, 4ASD, 4ASE",NULL
254,Equine herpesvirus type 1,NULL,Equid herpesvirus 1 (Equine herpesvirus 1):10326,Virus,NULL,NULL,NULL
255,Receptor-type tyrosine-protein phosphatase C,"Leukocyte common antigen, L-CA
Lymphocyte antigen 5, Ly-5
T200
CD_antigen=CD45",Mus musculus (Mouse):10090,Protein>Others,P06800,NULL,NULL
256,D-glutamate,NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
257,"ATP, D-glutamate",NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
258,Envelope protein,E protein,West Nile virus (WNV):11082,Protein>Others,Q91KZ4,1ZTX,Envelope protein E binding to host cell surface receptor is followed by virus internalization through clathrin-mediated endocytosis. Envelope protein E is subsequently involved in membrane fusion between virion and host late endosomes.
259,Ferritin heavy chain,"Ferritin H subunit
Cell proliferation-inducing gene 15 protein",Homo sapiens (Human):9606,Protein>Others,P02794,"1FHA, 2CEI, 2CHI, 2CIH, 2CLU, 2CN6, 2CN7, 2FHA, 2IU2, 2Z6M, 3AJO, 3AJP, 3AJQ, 3ERZ, 3ES3, 4DYX, 4DYY, 4DYZ, 4DZ0",NULL
260,Pertussis toxin subunit 1 (PTX S1),"Islet-activating protein S1 (IAP S1)
NAD-dependent ADP-ribosyltransferase
",Bordetella pertussis:520,Protein>Others,P04977,"1BCP, 1PRT, 1PTO",NULL
261,Capsid protein 1,NULL,Porcine parvovirus (PPV):10796,Protein>Others,GI:194277768,NULL,NULL
262,"N-alpha-acetyltransferase 10, NatA catalytic subunit","N-terminal acetyltransferase complex ARD1 subunit homolog A
EC=2.3.1.-
EC=2.3.1.88",Homo sapiens (Human):9606,Protein>Enzyme,P41227,NULL,NULL
263,Transforming protein RhoA,"Rho cDNA clone 12, h12",Homo sapiens (Human):9606,Protein>Others,P61586,"1A2B, 1CC0, 1CXZ, 1DPF, 1FTN, 1KMQ, 1LB1, 1OW3, 1S1C, 1TX4, 1X86, 1XCG, 2RGN, 3KZ1, 3LW8, 3LWN, 3LXR, 3MSX, 3T06",NULL
264,Interleukin-2 (IL-2),NULL,Anas platyrhynchos (Domestic duck) (Anas boschas):8839,Protein>Others,Q8JFF4 [22-140],NULL,NULL
265,Envelope glycoprotein gp160,Env polyprotein,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1):11706,Protein>Others,P04578,"1AIK, 1DF4, 1DF5, 1DLB, 1G9M, 1GC1, 1GZL, 1K33, 1K34, 1RZJ, 2CMR, 2NY7, 2PV6, 2XRA, 3DNL, 3DNN, 3DNO, 3IDX, 3IDY, 3TYG, 3VIE, 4JPJ, 4JPK",NULL
266,Lipopolysaccharide-binding protein (LBP),NULL,Mus musculus (Mouse):10090,Protein>Others,Q61805,NULL,NULL
267,Larval proteins of Rhipicephalus microplus,NULL,Rhipicephalus microplus:6491,Protein>Others,NULL,NULL,NULL
268,Subolesin,NULL,Ixodes scapularis (Black-legged tick) (Deer tick):6945,Protein>Others,GI:55846013,NULL,NULL
269,Subolesin-like protein,NULL,Aedes albopictus (Asian tiger mosquito):7160,Protein>Others,GI:194339231,NULL,NULL
270,Histone H3-like centromeric protein A,"Centromere autoantigen A
Centromere protein A, CENP-A",Homo sapiens (Human):9606,Protein>Others,P49450,"3AN2, 3NQJ, 3NQU, 3R45",NULL
271,Interleukin-15,NULL,Anser cygnoides (Chinese goose):8845,Protein>Others,Q6TMH0,NULL,NULL
272,Enterotoxin type B (SEB),NULL,Staphylococcus aureus:1280,Protein>Others,P01552,"1D5M, 1D5X, 1D5Z, 1D6E, 1GOZ, 1SBB, 1SE3, 1SE4, 1SEB, 2SEB, 3GP7, 3R8B, 3SEB",NULL
273,Protein S100-A4,"Calvasculin
Metastasin
Placental calcium-binding protein
Protein Mts1
S100 calcium-binding protein A4",Homo sapiens (Human):9606,Protein>Others,P26447,"1M31, 2LNK, 2Q91, 3C1V, 3CGA, 3KO0, 3M0W, 3ZWH, 4ETO, 4HSZ",NULL
274,Heparin,NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
275,Urease subunit beta,"Urea amidohydrolase subunit beta
EC=3.5.1.5",Helicobacter pylori (Campylobacter pylori):210,Protein>Enzyme,P69996,"1E9Y, 1E9Z",NULL
276,Matrix protein 2,Proton channel protein M2,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1):211044,Protein>Others,P06821,NULL,NULL
277,P-glycoprotein,Multidrug resistance protein,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
278,Polyprotein,NULL,Foot-and-mouth disease virus - type Asia 1:110195,Protein>Others,E9KMQ6,NULL,NULL
279,"Methylmalonic aciduria and homocystinuria type D protein, mitochondrial",NULL,Homo sapiens (Human):9606,Protein>Others,Q9H3L0,NULL,NULL
280,HIV-1 gp41 membrane proximal exterior region (MPER),NULL,Human immunodeficiency virus type 1:11676,Protein>Others,NULL,NULL,NULL
281,"Dengue virus 2, DENV2",NULL,Dengue virus 2:11060,Virus,NULL,NULL,NULL
282,Capsid protein C,Core protein,West Nile virus (WNV):11082,Protein>Others,P06935 [2-105],"2FP7, 2GGV, 2IJO, 2P5P, 2YOL, 3E90, 3I50",NULL
283,"Transforming growth factor beta-1, TGF-beta-1","Latency-associated peptide, LAP",Homo sapiens (Human):9606,Protein>Others,P01137,"1KLA, 1KLC, 1KLD, 3KFD",NULL
284,Gastric cancer antigen,NULL,Unknown,Miscellaneous,NULL,NULL,NULL
285,Tail domain of fiber protein,,Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2):10515,Protein>Others,P03275 [1-44],"1QHV, 1QIU, 1V1H, 1V1I, 2BLD, 2C9F, 4AR2",NULL
286,Penton protein,"Penton base protein
Virion component III
pIII",Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2):10515,Protein>Others,P03276,"1X9P, 1X9T, 2C6S, 2C9F, 2C9G, 4V4U",NULL
287,Fiber protein,pIV,Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2):10515,Protein>Others,P03275,"1QHV, 1QIU, 1V1H, 1V1I, 1X9T, 2C9F, 4AR2, 4V4U",NULL
288,Envelope protein,NULL,Dengue virus 1:11053,Protein>Others,NULL,NULL,NULL
289,"West Nile virus, WNV",NULL,West Nile virus (WNV):11082,Virus,NULL,NULL,NULL
